                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6664,                 2.4812,                 1.6718,                 1.4526,                 4.5529,                 1.5041,                0.66383,                0.12984,                0.22386,                0.11311,                 1.7418,                  2.543,                 1.7837,                 1.4803,                 6.2533,                 1.5863,             0.00047137,             0.00047137,             0.00047137
                      2,                 1.7259,                 1.8827,                 1.6673,                  1.575,                 3.6846,                  1.512,                 0.6195,                0.32466,                0.26846,                0.11826,                 1.8812,                 2.8035,                 1.9234,                 1.7081,                 5.4722,                  1.763,             0.00092894,             0.00092894,             0.00092894
                      3,                 1.7284,                 1.8614,                 1.6643,                 1.6193,                  3.376,                 1.5626,                0.60078,                0.27305,                0.23555,                0.08062,                 2.0891,                 3.0484,                   2.15,                  1.857,                 5.0492,                 2.0002,              0.0013676,              0.0013676,              0.0013676
                      4,                  1.765,                 1.8324,                 1.6765,                 1.6884,                 2.9993,                 1.5947,                0.66784,                0.37338,                0.38197,                0.16301,                 1.8509,                 1.8438,                 1.8276,                 1.7457,                 3.5515,                 1.7706,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.7232,                  1.682,                 1.6456,                 1.6647,                 2.5939,                 1.5576,                0.72183,                 0.3762,                0.41275,                0.18433,                 1.8745,                 1.7628,                 1.8355,                 1.7675,                 2.9606,                 1.7076,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.6819,                 1.6544,                 1.6364,                 1.6379,                   2.36,                 1.5414,                0.73262,                 0.4048,                0.42913,                0.19182,                 1.7923,                 1.7825,                 1.8028,                 1.7604,                 2.5049,                 1.7309,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.7681,                 1.6328,                 1.6649,                 1.6941,                 2.2649,                 1.5725,                0.71682,                0.39076,                0.43085,                0.19375,                 1.7879,                 1.7897,                 1.7683,                 1.7458,                 2.4061,                 1.7139,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.6772,                 1.5545,                 1.6141,                 1.6561,                 2.0572,                 1.5312,                0.71773,                 0.4047,                0.45945,                0.20259,                 1.8011,                 1.5027,                 1.7487,                 1.7335,                 2.0902,                  1.642,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.6822,                 1.5017,                 1.5948,                  1.642,                 1.9749,                 1.5182,                0.80594,                 0.4426,                0.49441,                0.23615,                 1.7637,                 1.4139,                 1.7133,                 1.7424,                 1.8667,                 1.6576,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.6693,                 1.4968,                 1.6103,                  1.656,                 1.9053,                 1.5424,                0.77317,                0.42241,                0.49279,                0.23724,                 1.7664,                 1.4269,                 1.7451,                 1.7543,                 1.7667,                 1.6709,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.6272,                 1.4107,                  1.551,                 1.6207,                 1.7684,                 1.4916,                0.75391,                0.44841,                0.50592,                0.24536,                 1.7585,                 1.3128,                 1.6947,                 1.7353,                 1.6225,                 1.6193,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.5917,                 1.3571,                 1.5476,                 1.6026,                 1.6515,                 1.4991,                0.82416,                0.46904,                0.54768,                0.26041,                 1.7461,                  1.189,                 1.6667,                 1.7486,                 1.4723,                 1.6436,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.6307,                 1.3509,                 1.5472,                  1.638,                 1.6332,                 1.4849,                0.76827,                0.48086,                0.55147,                0.26149,                 1.7039,                 1.2266,                 1.6622,                 1.7388,                 1.4339,                 1.6278,              0.0011178,              0.0011178,              0.0011178
                     14,                  1.607,                 1.3474,                 1.5755,                 1.6211,                 1.6207,                 1.5051,                0.58499,                 0.5921,                0.62069,                0.30145,                 1.7579,                 1.1471,                 1.6717,                 1.7966,                 1.2906,                 1.6291,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.5789,                 1.2821,                 1.5136,                 1.5886,                 1.5271,                 1.4598,                0.62769,                0.62224,                0.66031,                0.31239,                 1.7039,                 1.1592,                  1.654,                 1.6947,                 1.2894,                 1.5892,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.5895,                 1.2775,                 1.5311,                 1.5992,                 1.5218,                 1.4673,                 0.6236,                0.75031,                0.69759,                0.30699,                 1.8114,                 1.1691,                 1.7313,                 1.8516,                 1.2861,                 1.6982,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.5546,                 1.2788,                 1.5283,                 1.5778,                 1.5292,                 1.4815,                  0.598,                0.55975,                0.62734,                0.29853,                 1.7596,                 1.2131,                    1.7,                 1.7414,                 1.3708,                 1.6432,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.5668,                 1.2508,                 1.5305,                 1.5943,                 1.4581,                 1.4676,                0.51232,                0.65217,                0.65461,                0.32072,                 1.6972,                 1.0733,                 1.6171,                 1.7282,                 1.1747,                  1.581,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.5374,                 1.2925,                 1.4997,                 1.5457,                 1.4381,                 1.4281,                0.58452,                0.70677,                0.68306,                0.34048,                 1.6568,                 1.0266,                 1.6083,                 1.6404,                 1.1569,                 1.5491,               0.000948,               0.000948,               0.000948
                     20,                 1.5165,                 1.1575,                 1.4806,                 1.5371,                 1.3702,                 1.4328,                0.62941,                0.59285,                0.63619,                 0.3079,                 1.7008,                 1.0428,                 1.6522,                 1.7274,                 1.1607,                 1.6216,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.4984,                  1.167,                 1.4788,                 1.5148,                 1.3876,                 1.4282,                0.69139,                0.67549,                0.69415,                0.34358,                 1.6601,                 1.0041,                 1.6041,                 1.6778,                 1.1022,                 1.5587,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.4968,                 1.1211,                  1.474,                 1.5105,                 1.3032,                 1.4312,                0.72944,                0.64573,                0.70328,                0.34559,                 1.6763,                 1.0082,                 1.6028,                 1.7149,                 1.0734,                 1.5669,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.4881,                 1.1201,                 1.4647,                 1.5252,                 1.2822,                 1.4184,                0.66189,                0.69661,                 0.7045,                0.36499,                 1.6675,                 1.0413,                  1.615,                 1.7013,                 1.0651,                  1.556,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.5121,                 1.1157,                 1.4734,                 1.5353,                 1.2935,                 1.4182,                0.63901,                0.67122,                0.70272,                0.35662,                 1.7111,                 1.0235,                  1.637,                 1.7257,                 1.0664,                 1.5912,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.4549,                 1.0677,                 1.4495,                 1.4929,                 1.2354,                 1.4047,                0.65617,                0.70415,                0.72674,                0.34792,                 1.7339,                0.99212,                 1.6799,                 1.7547,                  1.053,                 1.6306,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.4686,                 1.0779,                 1.4526,                  1.502,                 1.2598,                 1.4079,                 0.7751,                0.62668,                0.72765,                0.36168,                 1.7175,                0.95846,                 1.6359,                 1.7353,                 1.0118,                 1.5998,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.4747,                 1.0782,                 1.4444,                  1.495,                 1.2491,                 1.4061,                0.69529,                0.67493,                0.75154,                0.38634,                 1.6598,                0.95152,                  1.596,                 1.6733,                 1.0389,                 1.5591,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.4544,                  1.061,                 1.4396,                 1.4797,                 1.2272,                 1.4007,                0.66195,                0.72518,                0.74085,                0.36759,                 1.6865,                 0.9651,                 1.6149,                 1.6999,                 1.0845,                 1.5838,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.4447,                 1.1243,                  1.436,                 1.4632,                 1.2183,                 1.3972,                0.74918,                0.67191,                0.76719,                0.37734,                 1.6933,                0.93521,                 1.6278,                 1.7047,                 1.0155,                 1.5754,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.4427,                 1.0524,                 1.4313,                 1.4748,                 1.2169,                  1.402,                0.73753,                0.70406,                0.74651,                0.37536,                 1.6867,                  1.028,                 1.6083,                 1.7296,                 1.0504,                 1.5874,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.4637,                 1.0378,                 1.4349,                 1.4865,                 1.1823,                  1.402,                 0.7491,                0.70649,                0.74583,                0.36975,                 1.7078,                0.91151,                 1.6145,                  1.733,                0.95448,                 1.5849,             0.00060847,             0.00060847,             0.00060847
                     32,                  1.443,                 1.0064,                 1.4252,                 1.4659,                 1.1318,                 1.3932,                 0.7893,                0.66765,                0.77282,                0.37571,                 1.6873,                0.89817,                 1.6109,                 1.6957,                 0.9683,                 1.5819,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.4055,                0.98064,                 1.3983,                 1.4469,                 1.1296,                 1.3678,                0.71394,                0.68719,                 0.7525,                0.39316,                  1.661,                0.87534,                 1.5707,                 1.6753,                0.96641,                  1.534,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.4036,                0.98027,                 1.4249,                 1.4305,                 1.1196,                 1.3895,                0.80594,                0.67908,                0.79511,                0.39927,                 1.6842,                0.85263,                 1.6018,                  1.707,                0.92014,                 1.5862,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.4005,                 0.9739,                 1.3904,                 1.4351,                 1.1023,                 1.3613,                0.74508,                0.72913,                0.78816,                0.38918,                 1.6738,                0.86247,                 1.5862,                 1.7195,                0.90525,                 1.5706,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.3932,                 0.9766,                  1.398,                 1.4203,                  1.099,                 1.3532,                0.80503,                0.69834,                0.80103,                0.40552,                 1.6575,                0.85898,                  1.583,                 1.6826,                0.93473,                 1.5491,               0.000467,               0.000467,               0.000467
                     37,                 1.3621,                0.91982,                 1.3843,                 1.4026,                 1.0541,                 1.3603,                0.69874,                 0.7592,                 0.7962,                 0.4056,                 1.6608,                0.86318,                 1.5947,                 1.6733,                 0.9018,                 1.5509,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.3605,                0.92551,                 1.3791,                 1.4001,                 1.0431,                 1.3523,                 0.6989,                0.75631,                0.78206,                0.41099,                 1.6649,                0.85009,                 1.5906,                 1.6939,                0.86635,                 1.5588,             0.00041041,             0.00041041,             0.00041041
                     39,                  1.346,                0.92011,                 1.3659,                 1.3943,                 1.0493,                 1.3393,                0.75223,                 0.6992,                0.76605,                0.40071,                 1.6809,                0.85789,                 1.5984,                 1.7154,                0.89643,                 1.5756,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.3112,                0.90739,                 1.3525,                 1.3521,                 1.0297,                 1.3244,                0.79718,                0.71393,                0.80093,                0.39627,                  1.678,                0.83244,                 1.6052,                    1.7,                0.88982,                 1.5717,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.3302,                0.79391,                 1.4123,                 1.3658,                0.81936,                   1.39,                0.75231,                  0.689,                0.77145,                0.39166,                 1.6514,                0.85364,                 1.5913,                  1.664,                 0.8864,                 1.5618,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.3233,                0.76333,                  1.407,                 1.3566,                0.80491,                 1.3842,                0.82028,                 0.6988,                 0.8051,                 0.4114,                 1.6623,                0.83163,                 1.5979,                 1.6768,                 0.8645,                 1.5652,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.2975,                0.73413,                 1.3895,                 1.3331,                0.74217,                 1.3744,                0.74666,                0.75924,                0.80566,                0.40804,                  1.663,                0.81688,                  1.594,                 1.6762,                0.86809,                 1.5551,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.2706,                0.70761,                 1.3579,                 1.3092,                0.71301,                 1.3356,                0.74552,                0.74722,                0.79125,                0.40204,                 1.6862,                0.81037,                 1.6093,                 1.7026,                0.86167,                 1.5688,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.2388,                0.70343,                  1.345,                 1.2718,                0.74725,                 1.3241,                0.74763,                0.73474,                0.78702,                0.39436,                 1.6567,                0.80607,                 1.5854,                 1.6624,                 0.8752,                  1.546,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.2387,                0.69019,                 1.3449,                 1.2742,                0.70431,                 1.3236,                0.80441,                0.73538,                0.81245,                0.41089,                 1.6449,                0.79547,                 1.5844,                 1.6716,                0.83609,                 1.5553,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.2168,                0.66459,                  1.324,                 1.2639,                0.65977,                   1.31,                0.73682,                0.76377,                0.82411,                0.42114,                 1.6422,                0.78769,                  1.576,                 1.6595,                0.81847,                 1.5385,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.2092,                0.67711,                 1.3341,                 1.2386,                0.68347,                 1.3145,                0.74913,                0.79078,                0.81865,                0.41749,                 1.6484,                0.78383,                 1.5779,                 1.6667,                0.81431,                 1.5445,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.1945,                0.66295,                 1.3181,                  1.233,                0.67151,                 1.3029,                0.75397,                0.78815,                0.81268,                  0.415,                 1.6473,                0.79393,                 1.5743,                 1.6691,                0.82998,                  1.551,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.1851,                0.65679,                 1.3196,                 1.2263,                 0.6511,                 1.3061,                0.76765,                0.77132,                0.81731,                 0.4162,                 1.6534,                0.79346,                 1.5783,                 1.6758,                0.82879,                 1.5488,             7.0878e-05,             7.0878e-05,             7.0878e-05
